"3. Deutscher Orchesterwettbewerb '92","1","Gemischte Aufnahmen","Ars musici AMP 5049-2","Erster CD-Mitschnitt einer deutschen Amateurmusik-Olympiade, wie man den alle vier Jahre stattfindenden Deutschen (Laien-) Orchesterwettbewerb gerne nennt. Die Aufnahmen von 1992 aus Goslar stammen in der genannten Reihenfolge von folgenden Blasorchestern: Orchesterverein Hilgen (Platz 4), Saar Wind Orchestra (1), Stadtkapelle Wangen (3) und Stadtkapelle Wertingen (2).","","KOB","","","","4","","","Ars musici","",""
"4. Deutscher Orchesterwettbewerb '96","2","Gemischte Aufnahmen","Ars musici","Beim 4. Deutschen Orchesterwettbewerb 1996 in Gera waren erstmals auch die Jugendblasorchester mit einer eigenen Kategorie vertreten. Die Aufnahmen stammen in der genannten Reihenfolge von folgenden Orchestern: Orchesterverein Hilgen (Platz 1 BO), Symphonisches Blasorchester Unterpleichfeld (2 BO), Stadtkapelle Wangen (3 BO), Jugendblasorchester Marktoberdorf (1 JBO), Jugendblasorchester der Heimschule Lender, Sasbach (2 JBO), Jugendorchester Bad Freienwalde (3 JBO).","","KOB","","","","4","","","Ars musici","",""
"Angel of Light","3","Gemischte Aufnahmen","Ondine ODE 869-2","Auch der Nestor der zeitgenössischen finnischen Musik hat sich den grossen Bläserbesetzungen gewidmet. »Angel of Light« ist allerdings für die Bläser eines Sinfonieorchesters geschrieben und nicht für ein »herkömmliches« Blasorchester.","","KOB","","","","","","","Ondine","",""
"Arabenne","4","Gemischte Aufnahmen","BIS","Der zu Lebzeiten legendäre Christian Lindberg spielt auf dieser CD verschiedene Posaunensoli nordischer Komponisten ein.","","KOB","","","","","","","BIS","",""
"Daniel in the Lion's Den ","5","Gemischte Aufnahmen","Summit DCD 163","","usathelionsden","KOB","Carpe Diem Musikverlag","39,90","DCD163","","","","SUMMIT","20.4",""
"Drawing Down the Moon – Wind Music of Donald Erb","6","Gemischte Aufnahmen","NWR 80457-2","","mixdrawingdown","KOB","","","","","","","NWR","",""
"Guillaume Lekeu – Oeuvres orchestrales (II)","7","Gemischte Aufnahmen","SPRL ","","","KOB","","","","","","","SPRL","",""
"Mitänand","8","Gemischte Aufnahmen","Johann Mösenbichler","Gelungenes Beispiel für das Zusammenwirken von Chor und Blasorchester im ländlichen Raum.","mixmitanand","KOB","","","","","","","Mösenbichler","",""
"Mountains and Rivers Without End","9","Gemischte Aufnahmen","Koch International Classics 3-7221-2H1","","","KOB","","","","","","","KOCH","",""
"Music of Fisher Tull – A Celebration!","10","Gemischte Aufnahmen","Mark Recordings","Hinweise zu den Produktionen der Firma Mark Custom Recording Service siehe CD »1988 Mid-West US Marine Band«.","","KOB","","","","","","","Mark","",""
"New Brass Symphony","11","Gemischte Aufnahmen","Bayer-Records","Auf dieser CD erklingt Krysztof Pendereckis einziges Werk für grosse Bläserbesetzung in einer authentischen Aufnahme. Robert Austin Boudreau hatte das Werk bei Penderecki für das American Wind Symphony Orchestra in Auftrag gegeben.","mixnewbrasssymphony","KOB","","","","","","","Bayer","",""
"Perantoni plays Perantoni","12","Gemischte Aufnahmen","Mark Recordings 2433-MCD","Der Tubist Daniel Perantoni spielt hier Kompositionen mit verschiedenen Begleitinstrumenten. [Hinweise zu den Produktionen der Firma Mark Custom Recording Service siehe CD »1988 Mid-West US Marine Band«.]","mixperantoni","KOB","Carpe Diem Musikverlag","35,00","mcd2433","","","","Mark","17.9",""
"Remembrance – A Charles Ives Collection","13","Gemischte Aufnahmen","Koch International Classics 3-7182-2H1","","mixremembrance","KOB","","","","","","","KOCH","",""
"Roy Harris, Robert Russell Bennett","14","Gemischte Aufnahmen","BCD-1008 ","","","KOB","","","","","","","Bay Cities Music","",""
