"200 Jaar Harmoniemuziek in Vlaanderen","28","Belgien","Oudenaards Harmonie-Orkest / A. van Coppenrolle","""La Brabançonne (Van Campenhout / Arr. Eenhaes); Blaze Away (A. Holzmann / Arr. Furgeot); Klokke Roeland (A. Rodenbach, J. Destoop / Arr. Bouwman); Free World Fantasy (Jacob de Haan); La Belle Cantinière (Octave Fislfils); Op de Purp'ren hei (Armand Preud'homme / Arr. Beck); Soldier's Song (Frede Gines); Conquest of Paradise (Vangelis / Arr. Willy Hautvast); Youth Band Suite (Guy Duijck); Alte Kameraden (Carl Teike); Back to Dixie (Guy Rodenhof); Moment for Morricone (Ennio Morricone / Arr. Johan de Meij); Radetzky-Marsch (Johann Strauß / Arr. Sake Tiemersma); De Vlaamse Leeuw (Karel Miry / Arr. van Hoof)""","","","Ja"
"3. Deutscher Orchesterwettbewerb '92","1","Gemischte Aufnahmen","verschiedene Blasorchester und Blechbläserensembles auf einer der insgesamt vier CDs","""Burlesque (Georgij Salnikow); Prelude-Variations (Claude T. Smith); Music for Prague 1968: Interlude, Toccata und Choral (Karel Husa); Evocazioni (Paul Huber)""","","","Ja"
"4. Deutscher Orchesterwettbewerb '96","2","Gemischte Aufnahmen","verschiedene Blasorchester, Jugendblasorchester und Blechbläserensembles auf einer der insgesamt vier CDs","""Windspiele (Boris Mersson); Evocazioni (Paul Huber); Al Fresco (Karel Husa); Puszta: 2. und 4. Satz (Jan Van der Roost); The Year of the Dragon: 2. und 3. Satz (Philip Sparke); Aus einer Sage (Thorsten Wollmann)""","","","Ja"
"75th Anniversary","29","Belgien","Harmonieorkest »Vooruit« Harelbeke / verschiedene Dirigenten","""Unter Donner und Blitz (Johann Strauß / Arr. A. Delhaye); Leichte Kavallerie: Ouvertüre (Franz von Suppè / Arr. F. Rogister); Die Fledermaus: Mein Herr Marquis (Johann Strauß / Arr. J. Ooms); Tosca: E lucevan le stelle (Giacomo Puccini / Arr. Silvio Caligaris); Der Zigeunerbaron: Auftritt Zsupan (Johann Strauß / Arr. J. Ooms); Der Zigeunerbaron: Wer uns getraut (Johann Strauß / Arr. J. Ooms); Die Fledermaus: Ouvertüre (Johann Strauß / Arr. A. De Baeremaaker); Feuerfest (Josef Strauß / Arr. Freek Mestrini); Ohne Sorgen (Johann Strauß / Arr. Rudolf Topf); Die lustige Witwe: Vilja-Lied (Franz Lehár / Arr. Cor Mellema); Turandot: Nessun dorma (Giacomo Puccini / Arr. Robert van Beringen); Hoffmanns Erzählungen: Barcarole (Jacques Offenbach); An der schönen blauen Donau (Johann Strauß / Arr. Anton O. Sollfelner); Jazz Suite Nr. 2: Zweiter Walzer (Dmitrij Schostakowitsch / Arr. André Waignein); Radetzky-Marsch (Johann Strauß / Arr. Sake Tiemersma)""","b75thanniversary.jpg","","Ja"
"A Prelude to Applause","30","Belgien","Belgisches Marinemusikkorps / Peter Snellinckx","""A Prelude to Applause (Toshio Mashima); La Boda de Luis Alonso (Geronimo Gimenez / Arr. Walter Kalischnig); Genoveva (Guy Duijck); Rhapsody for Flugelhorn (André Waignein) u.a.""","bpreludeapplause.jpg","","Ja"
"Andel's Wind Band Series Vol.1","33","Belgien","Belgisches Luftwaffenmusikkorps / Alain Crepin","""Rondo Fantastico (Roland Cardon); Sunray (Alain Crepin); Children's Symphony (Roland Cardon); Little Suite for Winds (Rita Defoort); Back to Dixie (Guy Rodenhof); Miniatures for Band (Rity Defoort); Birthday Rag (Pol Steve); Trumpeters on Duty (Jean Kesteman); Sentimental Mood (Guy Rodenhof); North Sea Overture (André Waignein); Greetings from Jersey (Alain Crépin); Pasticchio (Roland Cardon)""","bandel1.jpg","","Ja"
"Andel's Wind Band Series Vol. 2","31","Belgien","Belgisches Luftwaffenmusikkorps / Alain Crépin","""Spaceman (Jean Kesteman); Variety Suite (Roland Cardon); Galaxies (Carl Davis / Arr. Ray Farr); Mars van de Belgische Rijkswacht (Arthur Prevost); Friendshipshymn (Alain Crépin); Classics for Band (Arr. Rita Defoort); Cop's Dilemma (Roland Cardon); Dance Party (Guy Rodenhof); Suite Tastevinesque (Alain Crepin)""","bandel2.jpg","","Ja"
"Andel's Wind Band Series Vol. 3","32","Belgien","Belgisches Luftwaffenmusikkorps / Alain Crépin","""Après un Rêve (Gabriel Fauré / Arr. Tonny Osaer); Erinnerungen an Zirkus Renz (Gustav Peter / Arr. Guy Rodenhof); Shadows (Roland Cardon); Four Nations, One Purpose (Eddy Geeraerts); A Tribute to Bert Paige (Arr. Pol Stone); Ciao Italia (Arr. Guy Rodenhof); Go! (Roland Cardon); Tango (Isaac Albeniz / Arr. Tonny Osaer); Far West Ouverture (Tony Osaer) / Full Moon (Jean Kesteman); Gabriel's Oboe (Ennio Morricone / Arr. Willy Fransen); Festival Hymn (Roland Cardon); Paddy's House (Roland Cardon); Twistin' Time (Arr. Roland Debaeremaeker); Circus of Soul (Jean Kesteman)""","bandel3.jpg","","Ja"
"Angel of Light","3","Gemischte Aufnahmen","Helsinki Philharmonic Orchestra / Leif Segerstam","Annunciations (Einojuhani Rautavaara)","","","Ja"
"Arabenne","4","Gemischte Aufnahmen","? / ?","BIS-CD 888","","","Ja"
